state,inf.mort,doctors
Alabama,9,218.199996948242
Alaska,6.90000009536743,228.5
Arizona,6.40000009536743,209.699996948242
Arkansas,8.5,203.399993896484
California,5,268.700012207031
Colorado,5.69999980926514,259.700012207031
Connecticut,6.19999980926514,376.399993896484
Delaware,8.30000019073486,250.899993896484
District of Columbia,11.3000001907349,807.200012207031
Florida,7.30000019073486,247.899993896484
Georgia,8.10000038146973,217.399993896484
Hawaii,5.59999990463257,317
Idaho,6.80000019073486,168.800003051758
Illinois,7.30000019073486,280.200012207031
Indiana,8,216.899993896484
Iowa,5.09999990463257,189.300003051758
Kansas,7.09999990463257,222.5
Kentucky,7.5,232.300003051758
Louisiana,9.89999961853027,262.700012207031
Maine,6.30000019073486,278.399993896484
Maryland,8,421.399993896484
Massachusetts,4.80000019073486,469
Michigan,7.40000009536743,250.199996948242
Minnesota,5.19999980926514,293.200012207031
Mississippi,10.6000003814697,177.899993896484
Missouri,7.40000009536743,246
Montana,5.80000019073486,220.600006103516
Nebraska,5.59999990463257,245.399993896484
Nevada,6.40000009536743,187.800003051758
New Hampshire,6.09999990463257,274.899993896484
New Jersey,5.5,316.299987792969
New Mexico,5.80000019073486,243.600006103516
New York,5.59999990463257,395.899993896484
North Carolina,8.10000038146973,254.199996948242
North Dakota,5.80000019073486,244.399993896484
Ohio,7.80000019073486,266.700012207031
Oklahoma,8,173.5
Oregon,5.5,274.5
Pennsylvania,7.59999990463257,305.299987792969
Rhode Island,6.09999990463257,375.5
South Carolina,8.39999961853027,229.800003051758
South Dakota,6.90000009536743,219.100006103516
Tennessee,8.69999980926514,263.600006103516
Texas,6.19999980926514,214.199996948242
Utah,5.09999990463257,208.100006103516
Vermont,5.5,373.700012207031
Virginia,7.09999990463257,274.5
Washington,4.69999980926514,270
West Virginia,7.40000009536743,232.100006103516
Wisconsin,6.40000009536743,259.100006103516
Wyoming,7,184.399993896484
